A.S. Advertisement Pass,Location_Type,VENUE,AWARDED,Attendance_Ratio,DATE,Event_Type,Day_of_Week
-,Warren,Henry Booker Room,302.78,0.46240000000000003,2024-10-11,Competition,Friday
-,Price Center,Price Center Theater,397.0,1.4358,2024-10-11,GBM,Friday
-,Price Center,Bear Room,174.65,2.6911,2024-10-11,GBM,Friday
-,Price Center,Red Shoe Room,198.37,0.857,2024-10-11,GBM,Friday
-,Price Center,Marshall College Room,471.99,1.7161,2024-10-11,GBM,Friday
-,Price Center,Green Table Room,326.63,0.0,2024-10-11,Speaker,Friday
-,Revelle,Natural Science Building (NSB) 3211,120.0,0.0,2024-10-11,GBM,Friday
-,Warren,CSE 1202,225.36,0.044399999999999995,2024-10-11,GBM,Friday
-,SunGod,sun god lawn,190.93,0.3665999999999999,2024-10-11,Social,Friday
-,Price Center,Price Center - Green Table Room,275.0,0.10909999999999997,2024-10-11,Competition,Friday
-,Warren,Warren Mall,314.82,1.6517,2024-10-11,Workshop,Friday
-,Price Center,"East Ballroom, ERC Room, Revelle College Room, PC Theater",3831.0,1.0572,2024-10-12,Social,Saturday
-,Warren,Powell-Focht Bioengineering Hall Rm 291,270.45,0.40670000000000006,2024-10-14,GBM,Monday
-,Mandeville Auditorium,Student Center,190.0,0.0,2024-10-14,Recruitment,Monday
-,Price Center,Price Center Marshall Room,543.06,1.0496,2024-10-14,Recruitment,Monday
No,Price Center,PC Ballroom East,1780.71,0.4212,2024-10-14,GBM,Monday
-,Price Center,Price Center Forum,484.57,1.135,2024-10-14,Social,Monday
-,SunGod,Sungod Lawn,405.5,1.0604,2024-10-14,Social,Monday
-,Price Center,PC Theater,287.59,0.0,2024-10-14,GBM,Monday
-,Price Center,Marshall College Room,266.03,0.03760000000000008,2024-10-15,GBM,Tuesday
-,Warren,Powell-Focht Bioengineering Hall Rm 291,119.35,0.0,2024-10-15,GBM,Tuesday
No,Price Center,The Forum,600.0,1.4667,2024-10-15,GBM,Tuesday
-,Price Center,Price Center - Ballroom West A,595.0,2.3529,2024-10-15,GBM,Tuesday
No,Price Center,PC West Bear Room,349.43,1.0875,2024-10-15,Social,Tuesday
-,Warren,Qualcomm Room,595.0,0.9916,2024-10-15,Workshop,Tuesday
-,Revelle,Bonner Hall 2130,307.09,3.1912000000000003,2024-10-15,Recruitment,Tuesday
-,Pepper Canyon,SME 248,211.08,0.9001,2024-10-15,Workshop,Tuesday
-,Mandeville Auditorium,Student Center Huerta- Vera Cruz,599.09,0.4173,2024-10-15,Religion,Tuesday
-,Price Center,Price Center - Eleanor Roosevelt College Room,351.0,1.396,2024-10-15,GBM,Tuesday
-,Mandeville Auditorium,Multipurpose Room,120.0,12.75,2024-10-15,GBM,Tuesday
-,Price Center,Price Center Warren Room,284.0,1.0915,2024-10-15,Social,Tuesday
-,Warren,Powell-Focht Bioengineering Hall Rm 291,103.55,0.0,2024-10-16,GBM,Wednesday
-,Revelle,Natural Sciences Building,599.99,0.35,2024-10-16,GBM,Wednesday
-,Pepper Canyon,EnVision,349.11,1.3749,2024-10-16,GBM,Wednesday
-,Price Center,Price Center Theatre,600.0,1.3333,2024-10-16,GBM,Wednesday
-,Warren,Jacobs Hall 2315,344.8,0.8411,2024-10-16,Workshop,Wednesday
