DATE,Location_Type,Event_Type,AWARDED,A.S. Advertisement Pass,Attendance_Ratio,Day_of_Week
2024-11-12,Warren,Speaker,125.49,Yes,0.9563,Tuesday
2024-11-12,Price Center,GBM,300.0,No,0.3667,Tuesday
2024-11-12,Warren,Social,307.09,No,0.8141,Tuesday
2024-11-13,Price Center,Social,216.58,Yes,1.5236999999999998,Wednesday
2024-11-13,Pepper Canyon,GBM,300.0,Yes,1.3333,Wednesday
2024-11-13,Price Center,Social,58.5,No,2.3932,Wednesday
2024-11-13,Price Center,GBM,597.84,No,0.3345,Wednesday
2024-11-14,Revelle,GBM,163.18,No,0.2451000000000001,Thursday
2024-11-14,Price Center,GBM,688.37,No,0.6682,Thursday
2024-11-14,SunGod,Social,10.57,No,17.0293,Thursday
2024-11-14,Warren,GBM,597.9,No,0.9533,Thursday
2024-11-14,Price Center,Social,400.0,No,1.525,Thursday
2024-11-15,Revelle,GBM,333.0,No,1.1712,Friday
2024-11-15,Price Center,Workshop,85.72,No,1.6332,Friday
2024-11-15,Warren,Social,550.0,No,1.1273,Friday
2024-11-16,Mandeville Auditorium,Social,800.0,No,0.4375,Saturday
2024-11-18,Pepper Canyon,Workshop,171.86,No,1.1056,Monday
2024-11-18,Mandeville Auditorium,Social,597.2,No,1.9089,Monday
2024-11-18,Mandeville Auditorium,Social,800.0,No,0.7125,Monday
2024-11-19,Price Center,GBM,199.47,No,1.504,Tuesday
2024-11-19,Warren,GBM,216.58,No,1.8931,Tuesday
2024-11-19,Price Center,Social,41.42,No,4.3457,Tuesday
2024-11-19,Price Center,Recruitment,504.4,No,2.8548999999999998,Tuesday
2024-11-19,North Campus,Social,426.51,No,0.5627,Tuesday
2024-11-20,Wong-Avery,Social,557.0,No,0.32319999999999993,Wednesday
2024-11-20,Pepper Canyon,GBM,300.0,No,1.4,Wednesday
2024-11-20,Price Center,Social,89.48,No,1.4528,Wednesday
2024-11-20,Price Center,GBM,773.91,No,1.7056,Wednesday
2024-11-20,Warren,Speaker,280.0,No,0.9643,Wednesday
2024-11-20,Online,GBM,180.0,No,0.7222,Wednesday
2024-11-20,Price Center,Social,180.75,No,1.6598000000000002,Wednesday
2024-11-21,Warren,Social,275.0,No,0.8364,Thursday
2024-11-21,Revelle,GBM,163.18,No,0.12260000000000004,Thursday
2024-11-21,Price Center,Social,600.0,No,1.1667,Thursday
2024-11-21,Mandeville Auditorium,GBM,109.14,No,1.9241,Thursday
2024-11-21,Price Center,GBM,172.4,No,1.2181,Thursday
2024-11-21,Price Center,Social,395.72,No,1.2635,Thursday
2024-11-21,Price Center,Workshop,397.64,No,0.8299,Thursday
2024-11-21,Price Center,GBM,1192.92,No,0.7209,Thursday
2024-11-21,Price Center,Social,282.25,No,0.8149,Thursday
2024-11-21,Warren,GBM,517.09,No,1.4891,Thursday
2024-11-21,Warren,GBM,550.0,No,0.7455,Thursday
2024-11-21,Pepper Canyon,Social,277.13,No,0.5052000000000001,Thursday
2024-11-22,Price Center,Social,272.36,No,0.18359999999999999,Friday
2024-11-22,Warren,GBM,244.27,No,0.9006000000000001,Friday
2024-11-22,Library Walk,Social,2501.55,No,0.6195999999999999,Friday
2024-11-22,Price Center,Social,253.85,No,1.1818,Friday
2024-11-22,SunGod,Social,1076.62,No,0.2508,Friday
2024-11-22,Warren,Workshop,201.91,No,0.04949999999999999,Friday
2024-11-22,Price Center,Social,484.88,No,1.1343,Friday
2024-11-23,Theater District,Social,100.0,No,2.4,Saturday
2024-11-24,Price Center,Social,482.5,No,1.6995,Sunday
2024-11-25,Pepper Canyon,GBM,650.0,No,1.1385,Monday
2024-11-26,Pepper Canyon,Speaker,401.58,No,0.07469999999999999,Tuesday
2024-11-26,Pepper Canyon,GBM,400.0,No,0.17500000000000004,Tuesday
2024-11-26,Pepper Canyon,Social,510.74,No,0.9398,Tuesday
2024-11-26,Warren,Recruitment,404.67,No,1.5568,Tuesday
2024-11-26,Price Center,GBM,388.98,No,0.6684000000000001,Tuesday
2024-11-27,Price Center,Social,301.67,No,0.6960999999999999,Wednesday
2024-12-02,Price Center,Social,340.0,No,1.1764999999999999,Monday
2024-12-02,Warren,Workshop,280.0,No,0.4286,Monday
2024-12-02,Mandeville Auditorium,Social,97.99,No,1.3267,Monday
2024-12-02,North Campus,GBM,226.29,No,1.0164,Monday
2024-12-02,Price Center,Social,641.03,No,1.6536,Monday
2024-12-03,Price Center,Recruitment,490.26,No,0.8771,Tuesday
2024-12-04,Pepper Canyon,Social,300.0,No,1.1667,Wednesday
2024-12-04,Revelle,GBM,451.0,No,0.51,Wednesday
2024-12-04,Price Center,Recruitment,240.0,No,9.0,Wednesday
2024-12-04,Pepper Canyon,Social,281.19,No,0.5334000000000001,Wednesday
2024-12-04,Price Center,Social,200.0,No,0.050000000000000044,Wednesday
2024-12-04,Price Center,Social,390.0,No,1.0769,Wednesday
2024-12-04,Pepper Canyon,Social,258.6,No,1.0828,Wednesday
2024-12-05,Price Center,Competition,264.94,No,0.9059,Thursday
2024-12-05,Revelle,GBM,163.18,No,0.8579,Thursday
2024-12-05,Price Center,Social,384.0,No,0.8332999999999999,Thursday
2024-12-05,Mandeville Auditorium,Social,449.48,No,0.7342,Thursday
2024-12-05,Mandeville Auditorium,Religion,559.23,No,0.5006999999999999,Thursday
2024-12-05,Warren,Social,53.75,No,4.2791,Thursday
2024-12-05,Price Center,Social,396.77,No,0.5797,Thursday
2024-12-06,Price Center,Social,525.0,No,0.7048,Friday
2024-12-06,Pepper Canyon,Social,195.0,No,0.10260000000000002,Friday
2024-12-06,Price Center,GBM,351.24,No,0.6548,Friday
2024-12-06,Price Center,Social,246.75,No,0.9726,Friday
2024-12-07,Muir,Social,346.42,No,0.7217,Saturday
2025-01-06,Price Center,Religion,350.0,No,1.4285999999999999,Monday
2025-01-06,Price Center,Social,641.03,No,2.0436,Monday
2025-01-07,Mandeville Auditorium,GBM,400.0,No,0.7,Tuesday
2025-01-07,Warren,Social,4000.0,No,0.5700000000000001,Tuesday
2025-01-07,Price Center,Competition,37.66,Yes,5.3107,Tuesday
2025-01-08,Price Center,GBM,182.4,Yes,0.16449999999999998,Wednesday
2025-01-08,Pepper Canyon,GBM,300.0,Yes,0.7667,Wednesday
2025-01-08,Warren,GBM,774.52,Yes,0.4132,Wednesday
2025-01-08,Price Center,Social,210.0,Yes,1.1429,Wednesday
2025-01-08,Price Center,GBM,1038.23,Yes,2.3116,Wednesday
2025-01-09,Pepper Canyon,Social,189.61,Yes,1.3185,Thursday
2025-01-09,Price Center,Social,398.88,No,0.3259000000000001,Thursday
2025-01-09,Price Center,GBM,323.84,Yes,0.6793,Thursday
2025-01-09,Warren,GBM,371.8,Yes,1.9903,Thursday
2025-01-09,Price Center,Competition,500.0,No,0.4,Thursday
2025-01-09,Price Center,GBM,600.0,Yes,0.7667,Thursday
2025-01-09,Warren,Recruitment,259.57,No,1.6181,Thursday
2025-01-10,Price Center,GBM,210.0,Yes,1.3333,Friday
2025-01-10,Price Center,Social,210.65,Yes,0.7596,Friday
2025-01-10,Price Center,Social,149.54,Yes,1.6718000000000002,Friday
2025-01-10,Warren,GBM,386.3,Yes,0.5953999999999999,Friday
2025-01-10,Pepper Canyon,GBM,319.76,Yes,4.1906,Friday
2025-01-13,Price Center,GBM,333.13,Yes,3.5422,Monday
2025-01-13,Pepper Canyon,GBM,344.8,Yes,1.0151,Monday
2025-01-13,Warren,GBM,299.55,No,2.003,Monday
2025-01-13,Price Center,GBM,196.43,Yes,0.8145,Monday
2025-01-14,Warren,GBM,510.74,Yes,0.48950000000000005,Tuesday
2025-01-14,Warren,GBM,537.94,Yes,0.7807999999999999,Tuesday
2025-01-14,Price Center,Speaker,393.29,No,0.9408,Tuesday
2025-01-14,Warren,Social,232.07,Yes,0.5171,Tuesday
2025-01-14,Price Center,GBM,412.96,No,1.8404,Tuesday
2025-01-14,Pepper Canyon,GBM,182.5,No,2.3014,Tuesday
2025-01-14,Pepper Canyon,GBM,182.5,No,2.3014,Tuesday
2025-01-15,Price Center,GBM,216.58,Yes,1.9854,Wednesday
2025-01-15,Price Center,GBM,93.22,Yes,2.2527,Wednesday
2025-01-15,Pepper Canyon,Recruitment,300.0,No,2.0,Wednesday
2025-01-16,Price Center,GBM,495.65,Yes,0.2623000000000001,Thursday
2025-01-16,Price Center,Workshop,400.0,Yes,0.7,Thursday
2025-01-16,Warren,Workshop,347.49,No,0.40290000000000004,Thursday
2025-01-16,Price Center,Social,312.41,No,0.7362,Thursday
2025-01-17,Price Center,GBM,439.44,No,0.5689,Friday
2025-01-17,Mandeville Auditorium,Workshop,1500.0,Yes,0.6799999999999999,Friday
2025-01-17,Price Center,GBM,438.37,Yes,2.2356,Friday
2025-01-17,Muir,GBM,1668.75,Yes,0.39549999999999996,Friday
2025-01-17,Price Center,Workshop,1606.89,Yes,1.1949,Friday
2025-01-17,Price Center,GBM,326.96,Yes,1.7433,Friday
2025-01-17,Warren,Workshop,193.95,No,1.2374,Friday
2025-01-17,Price Center,GBM,591.69,No,0.9971,Friday
2025-01-17,Pepper Canyon,Recruitment,179.94,Yes,0.778,Friday
2025-01-18,Price Center,Competition,1434.75,No,0.8085,Saturday
2025-01-18,Price Center,GBM,554.33,Yes,4.0229,Saturday
2025-01-20,Warren,Recruitment,599.0,No,0.4174,Monday
2025-01-21,Pepper Canyon,Social,231.21,No,1.0813,Tuesday
2025-01-21,Price Center,GBM,93.22,Yes,1.6091,Tuesday
2025-01-21,Pepper Canyon,Recruitment,569.2,Yes,0.6676,Tuesday
2025-01-21,Pepper Canyon,Recruitment,259.57,No,0.3081999999999999,Tuesday
2025-01-21,Pepper Canyon,Speaker,173.59,Yes,1.1521,Tuesday
2025-01-21,Price Center,Social,156.7,Yes,1.8506999999999998,Tuesday
2025-01-21,Price Center,GBM,296.31,Yes,0.5737,Tuesday
2025-01-21,Warren,Recruitment,400.0,Yes,0.675,Tuesday
2025-01-22,Pepper Canyon,Recruitment,300.0,No,1.3333,Wednesday
2025-01-22,Price Center,Workshop,86.0,No,2.3256,Wednesday
2025-01-22,Wong-Avery,Speaker,273.07,Yes,0.6592,Wednesday
2025-01-22,Price Center,Workshop,178.5,Yes,0.8964,Wednesday
2025-01-22,Price Center,Religion,344.8,Yes,0.7831,Wednesday
2025-01-22,Price Center,GBM,80.0,No,1.875,Wednesday
2025-01-22,Pepper Canyon,GBM,215.5,Yes,1.4849,Wednesday
2025-01-22,Warren,GBM,112.23,Yes,2.9404,Wednesday
2025-01-23,Price Center,Speaker,,No,1.0,Thursday
2025-01-23,Price Center,Social,200.0,Yes,0.95,Thursday
2025-01-23,Price Center,GBM,248.9,No,1.0446,Thursday
2025-01-23,Warren,Workshop,105.06,Yes,1.3326,Thursday
2025-01-23,Warren,Competition,285.0,Yes,0.6315999999999999,Thursday
2025-01-24,Price Center,GBM,189.05,No,2.2744999999999997,Friday
2025-01-24,Pepper Canyon,GBM,288.0,No,0.7292000000000001,Friday
2025-01-24,Price Center,GBM,349.5,No,0.5722,Friday
2025-01-24,Student Services Center,Recruitment,3647.41,No,0.5593,Friday
2025-01-24,Sixth,GBM,250.0,No,1.04,Friday
2025-01-24,Warren,Speaker,505.89,Yes,0.33599999999999997,Friday
2025-01-24,Warren,Workshop,189.53,No,0.7914,Friday
2025-01-25,Warren,Recruitment,700.0,Yes,0.5286,Saturday
2025-01-27,Pepper Canyon,Workshop,134.69,No,1.2622,Monday
2025-01-27,Warren,Recruitment,400.0,Yes,0.5,Monday
2025-01-27,Price Center,Religion,1412.5,Yes,0.09909999999999997,Monday
2025-01-27,Revelle,GBM,250.0,Yes,0.28,Monday
2025-01-27,Warren,Speaker,198.17,No,0.8074,Monday
2025-01-27,Price Center,Competition,659.26,No,0.9708,Monday
2025-01-28,Price Center,GBM,216.58,No,0.7848999999999999,Tuesday
2025-01-28,Price Center,Workshop,237.02,Yes,1.1813,Tuesday
2025-01-28,Pepper Canyon,Workshop,178.81,No,1.4541,Tuesday
2025-01-29,Pepper Canyon,Recruitment,300.0,No,1.0667,Wednesday
2025-01-29,Warren,Workshop,100.18,No,0.9982,Wednesday
2025-01-29,Pepper Canyon,Religion,549.53,No,0.8007,Wednesday
2025-01-29,Price Center,Religion,305.47,Yes,1.6040999999999999,Wednesday
2025-01-29,Price Center,Social,510.0,Yes,0.6667000000000001,Wednesday
2025-01-29,Pepper Canyon,Workshop,147.84,Yes,1.7587000000000002,Wednesday
2025-01-29,Warren,Workshop,215.39,Yes,0.6964,Wednesday
2025-01-30,Price Center,Speaker,382.51,Yes,0.6536,Thursday
2025-01-30,Price Center,Recruitment,300.0,Yes,0.4,Thursday
2025-01-30,Warren,Social,263.72,Yes,0.5309,Thursday
2025-01-31,Warren,Workshop,552.27,Yes,1.1045,Friday
2025-01-31,Price Center,Workshop,297.27,Yes,1.3456000000000001,Friday
2025-02-01,Price Center,Religion,3518.75,Yes,0.13069999999999993,Saturday
2025-02-01,Warren,Competition,584.1,Yes,0.18830000000000002,Saturday
2025-02-01,Mandeville Auditorium,Social,157.56,No,6.9815,Saturday
2025-02-01,Warren,Competition,862.0,No,0.05799999999999994,Saturday
2025-02-01,Warren,Competition,1163.27,No,0.30090000000000006,Saturday
2025-02-03,Price Center,Social,742.24,Yes,1.8592,Monday
2025-02-03,Price Center,Social,366.36,Yes,1.0918,Monday
2025-02-04,Warren,GBM,510.74,Yes,0.6461,Tuesday
2025-02-04,Warren,GBM,216.58,No,1.8007,Tuesday
2025-02-04,Warren,Social,261.59,No,0.9939,Tuesday
2025-02-04,Pepper Canyon,Social,273.79,Yes,0.40180000000000005,Tuesday
2025-02-05,Pepper Canyon,Recruitment,300.0,No,1.2667,Wednesday
