NAME_OF_EVENT,DATE,VENUE,AWARDED,A.S. Advertisement Pass,Form Attendance,Attendance Miss,Event_Type,Location_Type
Project Teams Kickoff,1/21/2025,SME 248,$569.20 ,Yes,38,33.24%,Recruitment,Pepper Canyon
Winter Projects Kickoff,1/21/2025,SME ASML Room,$259.57 ,Not Found,8,69.18%,Recruitment,Pepper Canyon
NETS Coffee Talk,1/21/2025,SME 348,$173.59 ,Yes,20,-15.21%,Speaker,Pepper Canyon
PUSH Karaoke Social,1/21/2025,Price Center - Marshall College Room,$156.70 ,Yes,29,-85.07%,Social,Price Center
HSI GBM #1,1/21/2025,Price Center Bear Room,$296.31 ,Yes,17,42.63%,GBM,Price Center
HKN Induction Info Session 1,1/21/2025,"Henry Booker Room, Jacobs Hall",$400.00 ,Yes,27,32.50%,Recruitment,Warren
PPASO Winter GBM 1,1/21/2025,Multipurpose Room,$120.00 ,Not Found,,100.00%,GBM,Mandeville Auditorium
Winter W3 Project Committee,1/22/2025,EnVision,$300.00 ,Not Found,40,-33.33%,Recruitment,Pepper Canyon
CSSA Workshop #2: Portfolio Building,1/22/2025,Price Center ERC Room,$86.00 ,No,20,-132.56%,Workshop,Price Center
HMP3-HRI Undergraduate Research Info Panel,1/22/2025,Campus reservations,$273.07 ,Yes,18,34.08%,Speaker,Wong-Avery
Edusession,1/22/2025,Price Center Green Table Room,$178.50 ,Yes,16,10.36%,Workshop,Price Center
APAMSA Lunar New Year,1/22/2025,Price Center - Bear Room,$344.80 ,Yes,27,21.69%,Religion,Price Center
GBM 1,1/22/2025,Red Shoe Room,$80.00 ,No,15,-87.50%,GBM,Price Center
Winter GBM #1,1/22/2025,SME 248,$215.50 ,Yes,32,-48.49%,GBM,Pepper Canyon
Mentor-Mentee Arts and Crafts Social,1/22/2025,Zweifach Library - PFBH,$210.98 ,Not Found,,100.00%,Social,Warren
Switching Into Bioengineering Symposium,1/22/2025,Fung Auditorium at the Powell-Focht Bioengineering Hall,$112.23 ,Yes,33,-194.04%,GBM,Warren
Ysabel Francesca Aguirre,1/23/2025,Marshall College Room,,Not Found,,0.00%,Speaker,Price Center
BEI 2025 Winter Quarter Social,1/23/2025,PC West Green Table Room,$200.00 ,Yes,19,5.00%,Social,Price Center
GBM,1/23/2025,Marshall College Room,$248.90 ,Not Found,26,-4.46%,GBM,Price Center
Ecological Modeling Workshop,1/23/2025,Jacobs Hall 2315,$105.06 ,Yes,14,-33.26%,Workshop,Warren
IEEE Jester's Trivia Joust,1/23/2025,Henry Booker Room,$285.00 ,Yes,18,36.84%,Competition,Warren
Medlink GBM #1,1/24/2025,Price Center Marshall Room,$189.05 ,No,43,-127.45%,GBM,Price Center
Chem-E-Car Winter GBM #1,1/24/2025,SME 248 ASML Conference Center,$288.00 ,Not Found,21,27.08%,GBM,Pepper Canyon
TritonTubers Winter GBM,1/24/2025,Price Center Red Shoe Room,$349.50 ,Not Found,20,42.78%,GBM,Price Center
Winter Wonderland - A CSI Student Org Fair,1/24/2025,Town Square,"$3,647.41 ",Not Found,204,44.07%,Recruitment,Student Services Center
Winter GBM,1/24/2025,Urban Studies and Planning Studio (RWAC 0104),$250.00 ,No,26,-4.00%,GBM,Sixth
Brunch with Industry Professionals,1/24/2025,Henry Booker Room,$505.89 ,Yes,17,66.40%,Speaker,Warren
React Web Dev Workshop,1/24/2025,Henry Booker Room,$189.53 ,No,15,20.86%,Workshop,Warren
HKN Induction Ceremony,1/25/2025,"Henry Booker Room, Jacobs Hall",$700.00 ,Yes,37,47.14%,Recruitment,Warren
How AI Powers Recommender Systems,1/27/2025,ASML Room,$134.69 ,Not Found,17,-26.22%,Workshop,Pepper Canyon
Week 4 GBM Celebration,1/27/2025,ASANTE 123D,$216.58 ,No,,100.00%,GBM,North Campus
HKN Induction Info Session 2,1/27/2025,"Henry Booker Room, Jacobs Hall",$400.00 ,Yes,20,50.00%,Recruitment,Warren
CGC Spring Festival 2025,1/27/2025,PC West Ballroom AB,"$1,412.50 ",Yes,14,90.09%,Religion,Price Center
Graphite Week 4 GBM,1/27/2025,NSB Auditorium,$250.00 ,Yes,7,72.00%,GBM,Revelle
IEEE Intern Panel,1/27/2025,Henry Booker Room,$198.17 ,Not Found,16,19.26%,Speaker,Warren
Board Game and Boba Winter Jeopardy Night,1/27/2025,Price Center Theather,$659.26 ,No,64,2.92%,Competition,Price Center
HRI Winter Social,1/27/2025,Marshall College Room,$376.40 ,Not Found,,100.00%,Social,Price Center
NETS Spelling Bee,1/27/2025,Green Table Room PC,$300.00 ,Not Found,,100.00%,Competition,Price Center
AMF @ UC San Diego GBM #1 - Winter 25,1/28/2025,Price Center - Red Shoe Room,$500.00 ,No,,100.00%,GBM,Price Center
Winter GBM 2,1/28/2025,Price Center ERC Room,$216.58 ,No,17,21.51%,GBM,Price Center
Cold Call Emailing,1/28/2025,Marshall College Room,$237.02 ,Yes,28,-18.13%,Workshop,Price Center
