NAME_OF_EVENT,DATE,VENUE,AWARDED,A.S. Advertisement Pass,Estimated Attendance,Form Attendance,PEEF Attendance,Attendance Miss,PEEF Miss,Status,Notes,Event_Type,Location_Type
BMES Study Social,11/13/2024,Powell-Focht Bioengineering Hall Room 291,$143.23 ,No,25,,30,100.00%,-109.45%,Good Standing,,Social,Warren
Welcome Home GBM #2,11/13/2024,Bear room,$597.84 ,No,60,20,0,66.55%,100.00%,Good Standing,,GBM,Price Center
Week 7 GBM,11/14/2024,NSB Auditorium,$163.18 ,-,50,4,0,75.49%,100.00%,Good Standing,,GBM,Revelle
UES x Lumnus Consulting Case Competition,11/14/2024,Student Services Center Multipurpose Room,$981.44 ,-,120,,0,100.00%,100.00%,Good Standing,,Competition,Mandeville Auditorium
SQ Fall Insider Launch Party + GBM #1,11/14/2024,Price Center Ballroom East,$688.37 ,-,90,46,65,33.18%,5.57%,Good Standing,,GBM,Price Center
UBIC Olympic Games,11/14/2024,Sun God Lawn,$10.57 ,-,50,18,17,-1602.93%,-1508.33%,Good Standing,,Social,SunGod
SOHIL Criminal Law Pannel,11/14/2024,RRC room 104,$218.36 ,-,30,,33,100.00%,-51.13%,Good Standing,,Speaker,Pepper Canyon
BSA Study Jam,11/21/2024,Bear Room,$197.34 ,-,30,,0,100.00%,100.00%,Good Standing,,Social,Price Center
GBM #2: Ethics Panel,11/14/2024,Qualcomm Room,$597.90 ,-,70,57,0,4.67%,100.00%,Good Standing,,GBM,Warren
Scrapbooking Making,11/14/2024,Marshall College Room,$400.00 ,-,40,61,65,-52.50%,-62.50%,Good Standing,,Social,Price Center
Final Pressure Releasing Event,11/15/2024,Ballroom West AB,"$1,092.31 ",-,150,,0,100.00%,100.00%,Good Standing,,Social,Price Center
Week 7 GBM,11/15/2024,Natural Science Building,$333.00 ,-,52,39,0,-17.12%,100.00%,Good Standing,,GBM,Revelle
4 Year Plan Workshop,11/15/2024,Price Center ERC Room,$85.72 ,-,10,14,15,-63.32%,-74.99%,Good Standing,,Workshop,Price Center
SASE-giving,11/15/2024,Qualcomm Conference Center,$550.00 ,-,55,62,68,-12.73%,-23.64%,Good Standing,,Social,Warren
Sun God Soccer Social Event (Post Soccer Tournament),11/16/2024,Outdoor Events Hump,$800.00 ,-,80,35,50,56.25%,37.50%,Good Standing,,Social,Mandeville Auditorium
M.E.M.O. Big/Little + Fam Reveal,11/16/2024,Multipurpose Room,$210.00 ,-,80,,81,100.00%,-285.71%,Good Standing,,Social,Mandeville Auditorium
C Programming Workshop,11/16/2024,Henry Booker Room,$227.49 ,-,30,,0,100.00%,100.00%,Good Standing,,Workshop,Warren
UCLA at John Wooden Athletic Center,11/16/2024,John Wooden Athletic Center,$285.00 ,-,0,,0,0.00%,100.00%,Good Standing,,Other,Off Campus
IEEE Outreach Soldering Workshop for students,11/16/2024,ASML,$198.17 ,-,20,,0,100.00%,100.00%,Good Standing,,Workshop,Pepper Canyon
"MAXT OUT at Pioneer High School, Glendale Ca",11/17/2024,"Pioneer High School, Glendale Ca",$940.00 ,-,0,,0,0.00%,100.00%,Good Standing,,Other,Off Campus
NETS x LLNL Ethics in Engineering Workshop,11/18/2024,"Structural and Materials Engineering Building, Room 348",$171.86 ,-,25,19,21,-10.56%,-22.19%,Good Standing,,Workshop,Pepper Canyon
Board Game and Boba Game Night,11/18/2024,Stage Room & Patio,$597.20 ,-,90,114,124,-90.89%,-107.64%,Good Standing,,Social,Mandeville Auditorium
