DATE,Location_Type,Event_Type,AWARDED,A.S. Advertisement Pass,Attendance_Ratio,Day_of_Week,log_Attendance_Ratio,log_AWARDED,Month
2024-10-10,Price Center,Recruitment,296.31,No,0.0337,Thursday,0.033144598592302024,5.694775365496226,2024-10
2024-10-10,Warren,GBM,296.31,No,0.9112,Thursday,0.6477313170294627,5.694775365496226,2024-10
2024-10-10,Warren,GBM,199.34,No,0.4013,Thursday,0.337400377194035,5.300015923183619,2024-10
2024-10-10,Pepper Canyon,Social,291.87,No,0.7538,Thursday,0.5617848623631182,5.679728824552481,2024-10
2024-10-10,Price Center,Workshop,123.6,No,0.9709,Thursday,0.6784902912163117,4.825108606353353,2024-10
2024-10-11,Pepper Canyon,Social,600.0,No,1.7167,Friday,0.9994179084480368,6.398594934535208,2024-10
2024-10-11,Pepper Canyon,GBM,600.0,No,0.0167,Friday,0.016562088298978293,6.398594934535208,2024-10
2024-10-11,Warren,Social,597.75,No,1.5391,Friday,0.9318096875318255,6.394844148725125,2024-10
2024-10-11,Warren,Workshop,313.99,No,0.5732999999999999,Friday,0.4531753242642405,5.7525408922899715,2024-10
2024-10-11,Warren,Competition,302.78,No,0.4624,Friday,0.3800789217177485,5.716303755209872,2024-10
2024-10-11,Price Center,GBM,397.0,No,1.4358,Friday,0.890275244670873,5.986452005284438,2024-10
2024-10-11,Price Center,GBM,174.65,No,2.6911,Friday,1.3059245166096003,5.168493378711836,2024-10
2024-10-11,Price Center,GBM,198.37,No,0.857,Friday,0.6189622823705687,5.295162394854735,2024-10
2024-10-11,Price Center,GBM,471.99,No,1.7161,Friday,0.9991970278699043,6.159074246619396,2024-10
2024-10-11,Warren,GBM,225.36,No,0.0443999999999999,Friday,0.043442557842836634,5.422126652274323,2024-10
2024-10-11,SunGod,Social,190.93,No,0.3665999999999999,Friday,0.3123259033645408,5.257130722217787,2024-10
2024-10-11,Price Center,Competition,275.0,No,0.1090999999999999,Friday,0.10354887562855879,5.62040086571715,2024-10
2024-10-11,Warren,Workshop,314.82,No,1.6517,Friday,0.9752009437528749,5.755172431038497,2024-10
2024-10-12,Price Center,Social,3831.0,No,1.0572,Saturday,0.721345834918624,8.251142139090751,2024-10
2024-10-14,Warren,GBM,270.45,No,0.4067,Monday,0.34124653578151326,5.60377796035146,2024-10
2024-10-14,Price Center,Recruitment,543.06,No,1.0496,Monday,0.7176446521603328,6.299059534891641,2024-10
2024-10-14,Price Center,GBM,1780.71,No,0.4212,Monday,0.35150158516473495,7.485328856291337,2024-10
2024-10-14,Price Center,Social,484.57,No,1.135,Monday,0.7584666466805878,6.185323458594698,2024-10
2024-10-14,SunGod,Social,405.5,No,1.0604,Monday,0.7229001387092931,6.007583928987866,2024-10
2024-10-15,Price Center,GBM,266.03,No,0.0376,Tuesday,0.036910354020097076,5.58736101163895,2024-10
2024-10-15,Price Center,GBM,600.0,No,1.4667,Tuesday,0.9028812249642212,6.398594934535208,2024-10
2024-10-15,Price Center,GBM,595.0,No,2.3529,Tuesday,1.2098256430011713,6.39024066706535,2024-10
2024-10-15,Price Center,Social,349.43,No,1.0875,Tuesday,0.7359671777428735,5.859160971835714,2024-10
2024-10-15,Warren,Workshop,595.0,No,0.9916,Tuesday,0.6889383357858906,6.39024066706535,2024-10
2024-10-15,Revelle,Recruitment,307.09,No,3.1912000000000003,Tuesday,1.432987089111873,5.7303919480814,2024-10
2024-10-15,Pepper Canyon,Workshop,211.08,No,0.9001,Tuesday,0.6419065163663492,5.35696356198077,2024-10
2024-10-15,Mandeville Auditorium,Religion,599.09,No,0.4173,Tuesday,0.34875365319072266,6.397079643967271,2024-10
2024-10-15,Price Center,GBM,351.0,No,1.396,Tuesday,0.8738006802532029,5.863631175598097,2024-10
2024-10-15,Mandeville Auditorium,GBM,120.0,No,12.75,Tuesday,2.6210388241125804,4.795790545596741,2024-10
2024-10-15,Price Center,Social,284.0,No,1.0915,Tuesday,0.737881511900116,5.652489180268651,2024-10
2024-10-16,Revelle,GBM,599.99,No,0.35,Wednesday,0.30010459245033805,6.398578295461671,2024-10
2024-10-16,Pepper Canyon,GBM,349.11,No,1.3749,Wednesday,0.8649553313369952,5.858247390820336,2024-10
2024-10-16,Price Center,GBM,600.0,No,1.3333,Wednesday,0.8472835745708761,6.398594934535208,2024-10
2024-10-16,Warren,Workshop,344.8,No,0.8411,Wednesday,0.610363219081024,5.84586057324919,2024-10
2024-10-16,Price Center,Speaker,86.25,Yes,3.7101,Wednesday,1.5497091392254483,4.468777561082536,2024-10
2024-10-16,Price Center,Social,187.38,Yes,1.3342,Wednesday,0.8476692199961162,5.238461199394671,2024-10
2024-10-16,Price Center,Workshop,303.5,No,0.9885,Wednesday,0.6873805856656083,5.718671087149952,2024-10
2024-10-16,Warren,Workshop,277.79,No,0.072,Wednesday,0.06952606264861023,5.630458810237358,2024-10
2024-10-17,Revelle,GBM,163.18,Yes,0.9192,Thursday,0.6519084325433477,5.10096338692012,2024-10
2024-10-17,Price Center,GBM,348.01,No,0.0287,Thursday,0.028295869154847303,5.855100575087058,2024-10
2024-10-17,Price Center,Social,343.8,No,0.8144,Thursday,0.5957548345512959,5.842964538789538,2024-10
2024-10-17,Price Center,Social,338.07,No,0.6212,Thursday,0.4831666157720164,5.826206575739908,2024-10
2024-10-17,Price Center,Speaker,595.0,No,0.7059,Thursday,0.5340928307043368,6.39024066706535,2024-10
2024-10-17,Warren,Workshop,178.05,No,0.8425,Thursday,0.6111233450813547,5.187665096444442,2024-10
2024-10-17,Warren,Workshop,97.24,No,1.6454,Thursday,0.9728222826098099,4.587413464398832,2024-10
2024-10-17,Price Center,Speaker,172.4,No,0.9861,Thursday,0.6861729168226088,5.155601064346442,2024-10
2024-10-17,Pepper Canyon,GBM,191.79,No,1.5642,Thursday,0.9416465391364632,5.261601513611377,2024-10
2024-10-17,Mandeville Auditorium,GBM,560.3,No,0.6068,Thursday,0.47424462350299007,6.330255521948153,2024-10
2024-10-18,Pepper Canyon,GBM,156.24,No,1.6001,Friday,0.955549905826272,5.057773300553659,2024-10
2024-10-18,Pepper Canyon,Social,521.49,No,0.2876000000000001,Friday,0.25278002044251613,6.2586058448998365,2024-10
2024-10-18,Price Center,Social,350.0,No,0.6286,Friday,0.4877207500508939,5.860786223465865,2024-10
2024-10-18,Price Center,Social,147.5,No,2.1017,Friday,1.1319503482786202,5.000584958242754,2024-10
2024-10-19,Mandeville Auditorium,Social,2000.0,No,1.6,Saturday,0.9555114450274365,7.601402334583733,2024-10
2024-10-21,Pepper Canyon,Recruitment,316.0,No,0.6961999999999999,Monday,0.5283904549454626,5.75890177387728,2024-10
2024-10-21,Price Center,Social,597.2,No,2.428,Monday,1.2319770007355333,6.393925146195848,2024-10
2024-10-22,Price Center,Social,350.0,No,1.7143000000000002,Tuesday,0.9985340932551716,5.860786223465865,2024-10
2024-10-22,Price Center,Recruitment,543.06,No,0.4418999999999999,Tuesday,0.36596168833046416,6.299059534891641,2024-10
2024-10-22,Warren,Recruitment,453.12,No,2.6704,Tuesday,1.3003006479529144,6.118361480296333,2024-10
2024-10-22,Pepper Canyon,Recruitment,378.63,No,1.2149,Tuesday,0.7952072557510925,5.939197094171505,2024-10
2024-10-23,Price Center,GBM,214.42,No,1.9121,Wednesday,1.0688744704041533,5.372589610922624,2024-10
2024-10-23,Price Center,Social,41.42,Yes,4.1043,Wednesday,1.6300833217446304,3.7476199491365363,2024-10
2024-10-23,Pepper Canyon,GBM,349.11,Yes,1.4036,Wednesday,0.8769676134776359,5.858247390820336,2024-10
2024-10-23,Price Center,Speaker,92.5,Yes,2.5946,Wednesday,1.279432719335797,4.537961436294641,2024-10
2024-10-23,Price Center,Workshop,258.6,Yes,1.2761,Wednesday,0.8224634520300018,5.559141984829935,2024-10
2024-10-23,Price Center,GBM,298.14,No,0.6708000000000001,Wednesday,0.5133025536408833,5.70091169123118,2024-10
2024-10-24,Price Center,Social,350.0,No,1.0286,Thursday,0.7073458999597583,5.860786223465865,2024-10
2024-10-24,Revelle,GBM,163.18,Yes,0.8579,Thursday,0.6194468176299879,5.10096338692012,2024-10
2024-10-24,Mandeville Auditorium,GBM,350.0,Yes,0.7429,Thursday,0.5555503925454989,5.860786223465865,2024-10
2024-10-24,Warren,Workshop,231.27,Yes,0.4756,Thursday,0.3890646867403835,5.447900488087526,2024-10
